City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ahipara,-35.1667,173.1667,19.58,59,0,2.21,NZ,2022-12-05 00:06:32
1,Rikitea,-23.1203,-134.9692,24.13,81,79,5.83,PF,2022-12-05 00:04:00
2,Souillac,-20.5167,57.5167,24.21,78,20,3.09,MU,2022-12-05 00:00:29
3,Hamilton,39.1834,-84.5333,2.47,54,0,1.54,US,2022-12-05 00:06:32
4,Yellowknife,62.456,-114.3525,-20.71,65,75,4.63,CA,2022-12-05 00:00:30
5,Hermiston,45.8404,-119.2895,-1.99,91,100,0.0,US,2022-12-05 00:06:33
6,Iracoubo,5.4802,-53.2011,24.43,88,99,1.72,GF,2022-12-05 00:06:33
7,Davila,18.4726,120.5763,26.95,78,25,7.62,PH,2022-12-05 00:06:34
8,Sept-Iles,50.2001,-66.3821,-10.94,79,17,4.98,CA,2022-12-05 00:05:27
9,Wajir,1.7471,40.0573,25.57,66,59,4.34,KE,2022-12-05 00:06:34
10,Benguela,-12.5763,13.4055,24.33,84,100,0.64,AO,2022-12-05 00:06:34
11,Hilo,19.7297,-155.09,26.25,81,63,1.79,US,2022-12-05 00:00:09
12,Palauig,15.435,119.9045,28.12,68,95,0.61,PH,2022-12-05 00:06:35
13,Babanka,48.7097,30.4483,-4.78,48,97,4.6,UA,2022-12-05 00:06:35
14,Mykhaylivka,47.2724,35.2224,-5.75,57,3,7.03,UA,2022-12-05 00:06:35
15,Provideniya,64.3833,-173.3,0.2,100,100,9.0,RU,2022-12-05 00:04:08
16,Svetlyy,54.675,20.1347,0.03,93,100,5.1,RU,2022-12-05 00:06:36
17,Flinders,-34.5833,150.8552,28.47,50,10,3.87,AU,2022-12-05 00:06:09
18,Malia,35.2833,25.4667,14.9,85,8,1.77,GR,2022-12-05 00:06:37
19,Tuktoyaktuk,69.4541,-133.0374,-26.56,93,29,5.97,CA,2022-12-05 00:06:37
20,Tura,25.5198,90.2201,15.01,86,0,1.71,IN,2022-12-05 00:06:37
21,Cicalengka,-6.3078,106.6164,28.78,75,100,1.49,ID,2022-12-05 00:06:37
22,Hasaki,35.7333,140.8333,8.22,75,100,9.72,JP,2022-12-05 00:06:38
23,Qaanaaq,77.484,-69.3632,-17.94,69,55,3.41,GL,2022-12-05 00:06:38
24,Ushuaia,-54.8,-68.3,4.28,85,42,2.38,AR,2022-12-05 00:03:59
25,Butaritari,3.0707,172.7902,26.95,79,34,5.09,KI,2022-12-05 00:04:10
26,Lufilufi,-13.8745,-171.5986,27.88,76,68,4.12,WS,2022-12-05 00:06:39
